odCatalogue,url
Auckland Libraries,http://auckland.overdrive.com/
Bridges,http://bridges.overdrive.com/
Camellia Net Digital Catalog,https://camellia.overdrive.com/
King County Library System,http://kcls.overdrive.com/
eLibrary NJ,http://listennj.overdrive.com/
New Hampshire State Library,http://nh.overdrive.com/
NorthNet Library System,http://northnet.overdrive.com/
Pima County Public Library,http://pima.overdrive.com/
Carnegie Library of Pittsburgh,https://acla.overdrive.com/
Washington Anytime Library,https://anytime.overdrive.com/
Arapahoe Library District,https://arapahoe.overdrive.com/
Austin Public Library,https://austinlibrary.overdrive.com/
British Columbia Libraries,https://bcpl.overdrive.com/
Boston Public Library,https://bpl.overdrive.com/
Brooklyn Public Library,https://brooklyn.overdrive.com/
Broward County Library,https://broward.overdrive.com/
Buffalo & Erie County Public Library,https://buffalo.overdrive.com/
Calgary Public Library,https://calgary.overdrive.com/
Contra Costa County Library,https://ccc.overdrive.com/
Cuyahoga County Public Library,https://ccpl.overdrive.com/
Chicago Public Library,https://chipublib.overdrive.com/
Cincinnati & Hamilton County Public Library,https://cincinnatilibrary.overdrive.com/
Digital Downloads Collaboration,https://clc.overdrive.com/
CLEVNET,https://clevnet.overdrive.com/
CW MARS,https://cwmars.overdrive.com/
Douglas County Libraries,https://dcl.overdrive.com/
District of Columbia Public Library,https://dclibrary.overdrive.com/
Denver Public Library,https://denver.overdrive.com/
Digital Library of Illinois,https://dlil.overdrive.com/
downloadLibrary,https://downloadlibrary.overdrive.com/
Bergen County Cooperative Library System,https://ebccls.overdrive.com/
Edmonton Public Library,https://epl.overdrive.com/
Fairfax County Public Library,https://fairfax.overdrive.com/
Fort Vancouver Regional Library District,https://fortvancouver.overdrive.com/
The Free Library of Philadelphia,https://freelibrary.overdrive.com/
Houston Area Digital Media Catalog,https://hadc.overdrive.com/
Halifax Public Libraries,https://halifax.overdrive.com/
Hawaii State Public Library System,https://hawaii.overdrive.com/
MELSA: Twin Cities Metro eLibrary,https://melsa.overdrive.com/
Harris County Public Library,https://hcpl.overdrive.com/
Hillsborough County Public Library Cooperative,https://hcplc.overdrive.com/
Henrico County Public Library,https://henrico.overdrive.com/
Hamilton Public Library,https://hpl.overdrive.com/
Indianapolis Public Library,https://indypl.overdrive.com/
Kentucky Libraries Unbound,https://kyunbound.overdrive.com/
